Treatment,number of seeds,weight per seed
exclusion,24,0.004083333
exclusion,16,0.004375
exclusion,27,0.004222222
exclusion,19,0.003842105
exclusion,25,0.00528
exclusion,25,0.00524
exclusion,12,
exclusion,13,0.004615385
exclusion,11,0.005545455
exclusion,12,0.00575
exclusion,13,0.004615385
exclusion,14,0.005357143
exclusion,19,0.004736842
exclusion,27,0.004555556
exclusion,23,0.004608696
exclusion,27,0.00462963
exclusion,21,0.004809524
exclusion,26,0.005730769
exclusion,17,0.005235294
exclusion,8,0.0055
exclusion,20,0.00505
exclusion,,0.004529412
exclusion,15,0.005466667
exclusion,22,0.005409091
exclusion,18,0.005333333
supplemented,21,0.005285714
supplemented,24,0.005375
supplemented,25,0.00396
supplemented,26,0.005692308
supplemented,25,0.00436
supplemented,23,0.005130435
supplemented,24,0.005166667
supplemented,18,0.005
supplemented,24,0.005541667
supplemented,25,0.00588
supplemented,25,0.00544
supplemented,20,0.00535
supplemented,18,0.005388889
supplemented,24,0.005208333
supplemented,19,0.005210526
supplemented,15,0.004933333
supplemented,27,0.005148148
supplemented,22,0.005136364
supplemented,27,0.005333333
supplemented,26,0.005384615
supplemented,21,0.004809524
supplemented,20,0.00495
supplemented,13,0.005538462
supplemented,20,0.0046
open,27,0.004703704
open,20,0.00495
open,19,0.004842105
open,21,0.004285714
open,23,0.005086957
open,9,0.006222222
open,11,0.006909091
open,11,0.006454545
open,10,0.0062
open,9,0.006333333
open,13,0.006076923
open,14,0.0065
open,17,0.003529412
open,11,0.003454545
open,17,0.003764706
open,14,0.003071429
open,18,0.006388889
open,23,0.006086957
open,24,0.006166667
open,21,0.006333333
open,18,0.005555556
open,24,0.00525
open,22,0.005181818
open,23,0.004956522
open,16,0.0054375
open,28,0.005178571
open,23,0.005434783
open,19,0.005263158
open,17,0.005411765